Date,Title,Location,Time,Description,Category,Audience
"Wednesday July 1, 2026",Classes,SPRING VALLEY LIBRARY,12:00am - 11:59pm,"We are starting a new round of ESL classes at the Spring Valley Library! Before registering for Adult Learning Program ESL classes, all new students must complete a placement test.",Education & Literacy,Adults Pre-Testing For Sahara West ESL
"Wednesday July 1, 2026",Classes,SAHARA WEST LIBRARY,12:00am - 11:59pm,"We are starting a new round of ESL classes at the Sahara West Library! Before registering for Adult Learning Program ESL classes, all new students must complete a placement test.",Education & Literacy,Adults
"Wednesday July 1, 2026",Ready for Kindergarten Storytime,MESQUITE LIBRARY,10:00am - 10:45am,"Join us for stories, songs, and activities that build early literacy skills and help children develop a love for reading! For children ages 3- 5 and their caregivers.",Education & Literacy • Storytime,"Preschoolers, Kids"
"Wednesday July 1, 2026",Scavenger Hunt,RAINBOW LIBRARY,10:00am - 7:45pm,How good are you at finding things? Come to the kids' area in Rainbow Library at any time of the day to have fun testing your observation skills with our popular scavenger hunt!,Games,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
"Wednesday July 1, 2026",Learning Packets to Go,SPRING VALLEY LIBRARY,10:00am - 8:00pm,Stop by on Wednesdays this summer to puck up a Math and Language Arts Learning Packet to help keep up your skills during the summer!,Education & Literacy,"Tweens, Kids"
"Wednesday July 1, 2026",Scavenger Hunt,ENTERPRISE LIBRARY,10:00am - 8:00pm,Join us at Enterprise Library for our Looking for a Legend Scavenger Hunt! An exciting adventure designed to spark kids' love for books! For youth ages 3 to 17 years old.,Community Events,"Tweens, Toddlers, Teens, Preschoolers, Kids Las Vegas-Clark County Library  Date Range"
"Wednesday July 1, 2026",07/01/2026 - 07/31/2026,Location,All Locations,,Event Type All Types,Age Group All Ages REGISTERED EVENTS Thank you for your interest in Las Vegas- Clark County Library District Sign up at: https://lvccld.libnet.info/events or stop by any of our branches. Page 1 of 193 --footer-line
"Wednesday July 1, 2026",Baby Storytime,WINDMILL LIBRARY,10:30am - 11:00am,Includes book-sharing time and language- enrichment activities such as interactive songs.,Storytime,Babies
"Wednesday July 1, 2026",Preschool Storytime,SAHARA WEST LIBRARY,10:30am - 11:00am,"Build your child's early literacy skills and help them develop a love for books with stories, songs, and more!",Education & Literacy • Storytime,"Preschoolers, Kids"
"Wednesday July 1, 2026",Triple P: Positive Parenting Program,EAST LAS VEGAS LIBRARY,10:30am - 1:00pm,Join the free 8-week parenting information classes for parents of children ages 2-11 years old.,Education & Literacy,Adults REGISTERED EVENT
"Wednesday July 1, 2026",Basic Podcast Editing,WEST LAS VEGAS LIBRARY,10:30am - 11:30am,"This is a class dedicated to teaching our customers how to take the episodes they've recorded in our studio and easily edit them into polished, professional podcasts using Descript.","Arts, Crafts & Hobbies • Computers & Technology","Teens, Adults"
"Wednesday July 1, 2026",Five & Under Storytime,WEST CHARLESTON LIBRARY,10:30am - 11:00am,"All children under the age of 5 and their parents will enjoy books, songs, rhymes, and movement activities while building language and literacy skills.",Storytime,"Toddlers, Preschoolers"
"Wednesday July 1, 2026",Intro to Nevada 988,SAHARA WEST LIBRARY,10:30am - 11:10am,"Join us for this overview of Nevada 988, the state's behavioral health crisis response system.",Health & Wellness,Adults
"Wednesday July 1, 2026",Preschool Storytime,CENTENNIAL HILLS LIBRARY,10:45am - 11:15am,"This storytime is for all children between the ages of 3-5 & their parents. Families will enjoy books, songs, rhymes, & movement activities while building language & literacy skills. Space is limited.",Storytime,Preschoolers Three Square Senior Luncheon and
"Wednesday July 1, 2026",Social Hour,CLARK COUNTY LIBRARY,11:00am - 1:00pm,"The Library District and Three Square are teaming up to provide a hot and healthy meal for seniors 60 and over. Come join us for a bite to eat, socialize, and make new friends!",Community Events • Entertainment & Theater • Health & Wellness ...,Seniors
"Wednesday July 1, 2026",American Red Cross Blood Drive,RAINBOW LIBRARY,11:00am - 4:30pm,Every two seconds someone in the U.S. needs blood. Help save lives & stabilize the local supply for our community during this blood drive with American Red Cross.,Health & Wellness,"Teens, Seniors, Adults Page 2 of 193 --footer-line"
"Wednesday July 1, 2026",0-5 Storytime,RAINBOW LIBRARY,11:00am - 11:30am,This story program is targeted for all children under the age of five and their parents or caregivers. Come and enjoy a short storytime with us!,Storytime,"Toddlers, Preschoolers, Kids, Babies CANCELLED EVENT"
"Wednesday July 1, 2026",Burro Yourself In Book Club,BLUE DIAMOND LIBRARY,11:00am - 12:00pm,Join fellow literary lovers on the 1st Wednesday of the month to discuss the selected book or movie. We will enjoy discussion over refreshments and snacks.,"Books, Poetry & Writing • Lectures & Conversations","Seniors, Adults"
"Wednesday July 1, 2026",Babytime,ENTERPRISE LIBRARY,11:00am - 11:30am,"Caregivers and babies will learn lap sit games, bounces, and rhymes. Build your child's appreciation for books & reading at Babytime! Ages 0-18 months.",Storytime,Babies
"Wednesday July 1, 2026",Magician Adam London,MOAPA VALLEY LIBRARY,11:00am - 11:45am,Magical Comedy Hosted at OLSHACS.,Entertainment & Theater,"Tweens, Teens, Kids"
"Wednesday July 1, 2026",Send a Letter Station,MEADOWS LIBRARY,11:00am - 1:00pm,"Write a letter, and we’ll help it travel anywhere in the world! Envelopes and stamps provided, just bring your thoughts.","Books, Poetry & Writing","Teens, Seniors, Adults"
"Wednesday July 1, 2026",Play & Learn,EAST LAS VEGAS LIBRARY,11:00am - 12:00pm,For parents/caregivers and children ages 0 to 5 years old. Parents this is the time for you and your child to bond and learn together through play.,Education & Literacy,"Toddlers, Preschoolers, Babies"
"Wednesday July 1, 2026",Meet Up and Eat Up,SUNRISE LIBRARY,11:00am - 1:00pm,Join Sunrise Library in the children's area for free meals for children ages 2-18. Food is provided by Three Square Food Bank.,Community Events • Health & Wellness,"Tweens, Toddlers, Teens, Preschoolers, Kids, Babies"
