Date,Title,Location,Time,Description,Category,Audience
"Thursday July 23, 2026",STEAM Team,JAMES I. GIBSON LIBRARY,2:30pm - 3:15pm,Do you love the outdoors? Come make some camping themed crafts! Ages 6-11*. No younger children allowed.,STEAM,Kids
"Thursday July 23, 2026",Tai Chi with Jeanne,PASEO VERDE LIBRARY,3:00pm - 4:00pm,"Discover Tai Chi almost every Thursday in a welcoming class for all abilities. Gentle movements, standing or seated, help improve balance, calm the mind, and promote overall wellbeing.",Health & Wellness,Adults
"Thursday July 23, 2026",Teen Makerspace,JAMES I. GIBSON LIBRARY,4:00pm - 6:00pm,Want to try your hand on some new crafts? Join your fellow library teens and create something new this summer! Ages 11-17. No parents please.,Arts & Creativity,Teens
"Friday July 24, 2026",Storytime,GREEN VALLEY LIBRARY,10:15am - 10:45am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers REGISTERED EVENT"
"Friday July 24, 2026",Storytime,WEST HENDERSON LIBRARY,10:15am - 10:45am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers. Registration required. Check in at the Customer Service Desk.",Storytime,"Preschoolers, Babies & Toddlers"
"Friday July 24, 2026",Storytime,GREEN VALLEY LIBRARY,11:00am - 11:30am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers REGISTERED EVENT"
"Friday July 24, 2026",Storytime,WEST HENDERSON LIBRARY,11:15am - 11:45am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers. Registration required. Check in at the Customer Service Desk.",Storytime,"Preschoolers, Babies & Toddlers"
"Friday July 24, 2026",Conversational English Class,PASEO VERDE LIBRARY,12:00pm - 1:30pm,"Join our Conversational English program for relaxed, friendly conversation practice. Build confidence, meet new people, and practice everyday English in a supportive, low-pressure setting. 18+",Local Topics & Meetings • Culture & Diversity,Adults Paleontology- Learn about Pre-
"Friday July 24, 2026",Historic Life,PASEO VERDE LIBRARY,2:30pm - 3:30pm,"Join us for a fossil themed storytime, specimens, and a Dinosaur themed craft. Ages 6 to 11.",STEAM,Kids Page 12 of 14 --footer-line
"Friday July 24, 2026",Gentle Yoga,JAMES I. GIBSON LIBRARY,3:30pm - 4:30pm,"Relax and enjoy the benefits of yoga! This class meets on the 2nd and 4th Fridays of the month. We welcome participants of all levels, including little to no experience. Socks required.",Health & Wellness,Adults
"Saturday July 25, 2026",Club,WEST HENDERSON LIBRARY,8:00am - 9:00am,"Step outside, breathe deeply, and share stories together with Roaming Readers. 18+",Book Club • Health & Wellness,Adults
"Saturday July 25, 2026",Storytime,PASEO VERDE LIBRARY,9:30am - 10:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
"Saturday July 25, 2026",Storytime,PASEO VERDE LIBRARY,10:30am - 11:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
"Saturday July 25, 2026",Sip & Social for Adults,GREEN VALLEY LIBRARY,2:00pm - 3:00pm,Join our social hour for adults where you can meet new people and chat about K-pop and K- dramas. Age 18+,Fun & Games,Adults
"Saturday July 25, 2026",Teen Game Time!,JAMES I. GIBSON LIBRARY,2:30pm - 3:30pm,Come play games! We’ll have the Nintendo Switch 2 and variety of board games. You can even bring your own portable device to play with friends! Ages 11-17. No parents please.,Fun & Games,Teens
"Saturday July 25, 2026",Teen Dungeons & Dragons,PASEO VERDE LIBRARY,2:30pm - 4:00pm,Let's play some D&D! Open to new and experienced players. Ages 12-17.,Fun & Games,Teens
"Monday July 27, 2026",Yin Yoga for Beginners,PASEO VERDE LIBRARY,10:00am - 11:00am,"This calming yoga session can help improve flexibility, balance, and mindfulness. Space is limited. Passes are available at the Adult Services desk 30 minutes before the program.",Health & Wellness,Adults
"Tuesday July 28, 2026",Henderson Libraries Book Club,VIRTUAL,6:00pm - 7:00pm,"Join us as we read and discuss a variety of interesting and pertinent fiction and non-fiction works. This month's book is ""Lula Dean's Little Library of Banned Books"" by Kirsten Miller.",Book Club,Adults
"Wednesday July 29, 2026",Outreach Event | Leo at Cadence,OUTREACH,10:00am - 11:00am,Summer is almost Here!,Outreach,All Ages Page 13 of 14 --footer-line
"Wednesday July 29, 2026",Summer Movie,JAMES I. GIBSON LIBRARY,10:00am - 12:00pm,Bring your family and some snacks and join us for a fun movie and free air-conditioning! We'll be watching Meet the Robinsons (G; 1hr 35min).,Movie,Families
"Wednesday July 29, 2026",EmploNV Community Outreach,GREEN VALLEY LIBRARY,10:00am - 12:00pm,Stop by and talk with the EmployNV Youth Hub outreach team about the many resources that they offer to young adults.,Local Topics & Meetings,"Teens, Families, Adults Paleontology- Learn about Pre-"
"Wednesday July 29, 2026",Historic Life,JAMES I. GIBSON LIBRARY,3:00pm - 4:00pm,"Join us for a fossil themed storytime, specimens, and a Dinosaur themed craft. Ages 6-11.",STEAM,Kids
"Thursday July 30, 2026",Summer Movie,PASEO VERDE LIBRARY,10:00am - 12:00pm,Bring your family and some snacks and join us for a fun movie and free air-conditioning! We'll be watching Night at the Museum (PG; 1hr 48min).,Movie,Families
"Thursday July 30, 2026",Tai Chi with Jeanne,PASEO VERDE LIBRARY,3:00pm - 4:00pm,"Discover Tai Chi almost every Thursday in a welcoming class for all abilities. Gentle movements, standing or seated, help improve balance, calm the mind, and promote overall wellbeing.",Health & Wellness,Adults
"Friday July 31, 2026",School,OUTREACH,12:00pm - 4:00pm,Get your Backpack Ready...,Outreach,All Ages Page 14 of 14 --footer-line
