Date,Title,Location,Time,Description,Category,Audience
"Wednesday July 8, 2026",Outreach Event | Library Stop,OUTREACH,11:30am - 1:00pm,Join Henderson Libraries & Henderson Vet Center every second Wednesday of the month!,Outreach,All Ages
"Wednesday July 8, 2026",STEAM Team,PASEO VERDE LIBRARY,2:30pm - 3:15pm,Come have fun with some glow-in-the-dark activities! Ages 6-11*. No younger children allowed.,General • STEAM,Kids Page 3 of 14 --footer-line
"Wednesday July 8, 2026",Teen Makerspace,PASEO VERDE LIBRARY,4:00pm - 6:00pm,Want to try your hand on some new crafts? Join your fellow library teens and create something new this summer! Ages 11-17. No parents please.,Arts & Creativity,Teens
"Wednesday July 8, 2026",Family Fun,JAMES I. GIBSON LIBRARY,6:00pm - 6:45pm,"Come by with the whole family for an evening of fun with games, crafts, and more! For families with children.",Arts & Creativity • Fun & Games,Families
"Thursday July 9, 2026",Mobile Showers with Clean the World,PARKING LOT - JAMES I. GIBSON,9:00am - 1:00pm,Henderson Libraries is partnering with Clean the World to provide hot showers and hygiene packs.,Health & Wellness,"Families, Adults"
"Thursday July 9, 2026",Storytime,JAMES I. GIBSON LIBRARY,9:30am - 10:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
"Thursday July 9, 2026",Summer Movie,PASEO VERDE LIBRARY,10:00am - 12:00pm,Bring your family and some snacks and join us for a fun movie and free air-conditioning! We'll be watching Hoppers. (PG; 1hr 44min).,Movie,Families
"Thursday July 9, 2026",Storytime,JAMES I. GIBSON LIBRARY,10:30am - 11:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
"Thursday July 9, 2026",STEAM Team,JAMES I. GIBSON LIBRARY,2:30pm - 3:15pm,Come have fun with some glow-in-the-dark activities! Ages 6-11*. No younger children allowed.,General • STEAM,Kids
"Thursday July 9, 2026",Tai Chi with Jeanne,PASEO VERDE LIBRARY,3:00pm - 4:00pm,"Discover Tai Chi almost every Thursday in a welcoming class for all abilities. Gentle movements, standing or seated, help improve balance, calm the mind, and promote overall wellbeing.",Health & Wellness,Adults
"Thursday July 9, 2026",Teen Makerspace,JAMES I. GIBSON LIBRARY,4:00pm - 6:00pm,Want to try your hand on some new crafts? Join your fellow library teens and create something new this summer! Ages 11-17. No parents please.,Arts & Creativity,Teens
"Thursday July 9, 2026",Art Journaling workshop series,GREEN VALLEY LIBRARY,4:00pm - 5:30pm,"Discover the joy of art journaling through color, doodles, lines, and collage. Space is limited. Please see Customer Service for a pass 30 minutes before the program starts. 18 +",Arts & Creativity,Adults REGISTERED EVENT Practical AI Skills for Today’s
"Thursday July 9, 2026",Workforce,PASEO VERDE LIBRARY,5:30pm - 7:00pm,"Discover practical ways AI tools can support communication, organization, brainstorming, research, and productivity in today’s workplace.",Computers & Technology,Adults Page 4 of 14 --footer-line
"Friday July 10, 2026",Outreach Event | StoryWalk®,OUTREACH,8:00am - 10:00am,Let your imagination come to life!,Outreach,All Ages
"Friday July 10, 2026",Life Stories That Connect Us,PASEO VERDE LIBRARY,10:00am - 11:00am,"Meet, Share, Connect, and Be Inspired. Come join the conversation! This is a great opportunity to meet others in your community! Ages 18+",Local Topics & Meetings,Adults
